"filename", "language", "SCSS", "JSON", "vue", "JSON with Comments", "JavaScript", "XML", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\64170\Documents\HBuilderProjects\vue2\.hbuilderx\launch.json", "JSON with Comments", 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 1, 21
"c:\Users\64170\Documents\HBuilderProjects\vue2\App.vue", "vue", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\64170\Documents\HBuilderProjects\vue2\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 9, 24
"c:\Users\64170\Documents\HBuilderProjects\vue2\changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\64170\Documents\HBuilderProjects\vue2\common\uni-ui.scss", "SCSS", 95, 0, 0, 0, 0, 0, 0, 0, 0, 10, 16, 121
"c:\Users\64170\Documents\HBuilderProjects\vue2\components\awei-copywrittenwords\awei-copywrittenwords.vue", "vue", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\64170\Documents\HBuilderProjects\vue2\components\my-login\my-login.vue", "vue", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\64170\Documents\HBuilderProjects\vue2\components\my-userInfo\my-userInfo.vue", "vue", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\64170\Documents\HBuilderProjects\vue2\components\searchBar\searchBar.vue", "vue", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 5, 52
"c:\Users\64170\Documents\HBuilderProjects\vue2\components\uni-section\config.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\64170\Documents\HBuilderProjects\vue2\components\uni-section\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 9, 31
"c:\Users\64170\Documents\HBuilderProjects\vue2\components\uni-section\uni-section.vue", "vue", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 11, 137
"c:\Users\64170\Documents\HBuilderProjects\vue2\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 2, 1, 21
"c:\Users\64170\Documents\HBuilderProjects\vue2\main.js", "JavaScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 3, 26
"c:\Users\64170\Documents\HBuilderProjects\vue2\manifest.json", "JSON", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 1, 85
"c:\Users\64170\Documents\HBuilderProjects\vue2\package-lock.json", "JSON", 0, 425, 0, 0, 0, 0, 0, 0, 0, 0, 1, 426
"c:\Users\64170\Documents\HBuilderProjects\vue2\package.json", "JSON", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 1, 90
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages.json", "JSON", 0, 193, 0, 0, 0, 0, 0, 0, 0, 7, 7, 207
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\detail\detail.vue", "vue", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 12, 113
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\searchPage\searchPage.vue", "vue", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 7, 117
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\tabbar-3-detial\tabbar-3-qa\tabbar-3-qa.vue", "vue", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\tabbar-3-detial\tabbar-3-release\tabbar-3-release.vue", "vue", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\tabbar-3-detial\tabbar-3-video\tabbar-3-video.vue", "vue", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\tabbar\goods\goods.vue", "vue", 0, 0, 271, 0, 0, 0, 0, 0, 0, 0, 32, 303
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\tabbar\my\my.vue", "vue", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\tabbar\publish\publish.vue", "vue", 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 8, 163
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\tabbar\tabbar-4\tabbar-4.vue", "vue", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\tabbar\testPage\testPage.vue", "vue", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 6, 49
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\test\showData\showData.vue", "vue", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\64170\Documents\HBuilderProjects\vue2\store\collections.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\64170\Documents\HBuilderProjects\vue2\store\store.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 15, 5, 27
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni.scss", "SCSS", 37, 0, 0, 0, 0, 0, 0, 0, 0, 25, 14, 76
